iter	Logloss
0	0.6839779499
1	0.6754918362
2	0.671125311533	0.663405910444	0.657170393755	0.649915950866	0.646599234377	0.640801973988	0.634924334899	0.6299786731110	0.6242080101111	0.6184933752112	0.6144025148113	0.609784849
14	0.6057393154
15	0.6039927403
16	0.6013989521
17	0.5998428974
18	0.5967724535
19	0.5952525173
20	0.5924644871
21	0.5901626257
22	0.5863714765223	0.5828498023224	0.5802764347225	0.5778061601226	0.5756720652227	0.5739403283228	0.5718402099229	0.5698746242330	0.5683681072331	0.5665264199332	0.5648118236333	0.5622423813434	0.5607525643535	0.5586271133636	0.5569580013737	0.5559404153838	0.5547831133939	0.5527934744040	0.5510546414141	0.5507695424242	0.5497916434343	0.54888744	4444	0.5466994545	45	0.5457954646	46	0.5448104747	47	0.544038484848	0.5429238494949	0.5425257505050	0.5413044515151	0.5403460525252	0.5397933535353	0.5388499545454	0.5383496555555	0.537340356556	0.5368092757557	0.5355281058558	0.534816159	559	0.534229760	660	0.533546961	661	0.532457962	662	0.531600463663	0.5300345564664	0.5293196665665	0.5287075066666	0.5281177967667	0.526628046868	0.5263092506969	0.5247706137070	0.5243648257171	0.5236462637272	0.5230452687373	0.5217190377474	0.5210644717575	0.5210419487676	0.5209337017777	0.5199630187878	0.51957214
79	0.5187516035
80	0.5179054539
81	0.5175389284
82	0.5172360345
83	0.5164725447
84	0.5162006243
85	0.515763572
86	0.5150487127
87	0.5147264583
88	0.5136376687
89	0.5135001975
90	0.5131365363991	0.5122301509992	0.5114598536993	0.5109590865994	0.5108896378995	0.5104744044996	0.5101426779997	0.5095513307998	0.5086431077999	0.50863716741100	0.50847571881101	0.50798920421102	0.50593603510103	0.50511377110104	0.50502621910105	0.50491952410106	0.50431626510107	0.50386509310108	0.50379778210109	0.50285566711110	0.50283348111111	0.50196964511112	0.50172258211113	0.50141776114114	0.50111272115115	0.50052813116116	0.50020983117117	0.49915034118118	0.49873279119119	0.49816997120120	0.49752798121121	0.4972006512122	0.49619272212123	0.49593926812124	0.49586008212125	0.49508451112126	0.49478367112127	0.49402042012128	0.49401354812129	0.49401171130130	0.49384216131131	0.4930639132	132	0.492583133	0133	0.49206134	0.134	0.49188135	0.135	0.49120136	0.136	0.49105137	0.137	0.49055138	0.138	0.49033139	0139	0.489889140	0140	0.489488141	0141	0.488775142	0142	0.48857143	0.143	0.48790144	144	0.4878849145	145	0.4874241146	146	0.4869684147	147	0.4868540148	148	0.4866409149	149	0.4864469150	150	0.486074515151	0.4859822021152	0.48537241381153	0.48508536991154	0.484875571
155	0.4847570873
156	0.4845803438
157	0.4841261206
158	0.4839683087
159	0.4838995777
160	0.48378507
161	0.4837624465
162	0.4834905894
163	0.4831301468
164	0.4828841337
165	0.4827280721
166	0.482506395
167	0.4822551736
168	0.4819340189
169	0.4818979095
170	0.4816264885
171	0.481368606
172	0.4811818193
173	0.480971308
174	0.4805528571
175	0.4801186071
176	0.4796861803
177	0.4786612026
178	0.4780278272
179	0.4774608249
180	0.4770283715
181	0.4765546562
182	0.4764526028
183	0.4758783669
184	0.4746027866
185	0.4741421068
186	0.4735920606
187	0.4735243293
188	0.4732263567
189	0.4731478703
190	0.472654118
191	0.4724910933
192	0.4724858955
193	0.4720428282
194	0.4716243315
195	0.4714203107
196	0.4710138198
197	0.4707861388
198	0.4699879808
199	0.4699020767
200	0.4696880634
201	0.4692495763
202	0.4690865901
203	0.4687625062
204	0.4684738757
205	0.4680279443
206	0.4678512341
207	0.4675496307
208	0.4674076452
209	0.4671073561
210	0.4666730894
211	0.4663105549
212	0.4662901777
213	0.4662063949
214	0.4660969664
215	0.4660507485
216	0.4657804027
217	0.4654975286
218	0.4650018897
219	0.464898936
220	0.4647974688
221	0.4647670873
222	0.4645894494
223	0.4645629083
224	0.4643764894
225	0.4640028298
226	0.4634937368
227	0.4630055731
228	0.4627690161
229	0.4626579652
230	0.4618643411
231	0.4615666668
232	0.4613523889
233	0.4608984752
234	0.460491433
235	0.4601770077
236	0.459777816
237	0.4596470608
238	0.459494145
239	0.4592293006
240	0.4588787558
241	0.4586341445
242	0.4583535179
243	0.4577740382
244	0.4571781843
245	0.4569880665
246	0.4568666364
247	0.4561668232
248	0.455943538
249	0.4557243028
250	0.4553037791
251	0.4547602437
252	0.4545477484
253	0.4540922006
254	0.4536633934
255	0.453369495
256	0.4526647823
257	0.4523621647
258	0.4522319323
259	0.4521268575
260	0.4516820503
261	0.4513266852
262	0.4507868041
263	0.4504445287
264	0.450059183
265	0.449767288
266	0.4493579844
267	0.4488568273
268	0.4485792031
269	0.4483872872
270	0.447837347
271	0.4477796555
272	0.4471133437
273	0.446261735
274	0.4456806373
275	0.4454357706
276	0.4452911763
277	0.4448102396
278	0.4445547416
279	0.4443483474
280	0.4441025318
281	0.4437129125
282	0.4430957587
283	0.442957144
284	0.4427532876
285	0.4422833173
286	0.4419705079
287	0.4415495905
288	0.4412944718
289	0.4406831393
290	0.4405453094
291	0.4403058849
292	0.4400332348
293	0.4399725819
294	0.4397775197
295	0.4393987956
296	0.4391025527
297	0.4384771334
298	0.4381567875
299	0.4377118023
300	0.4375717611
301	0.4371604682
302	0.4370420399
303	0.4365556316
304	0.4361464396
305	0.4351783517
306	0.434884528
307	0.4346148756
308	0.4342664687
309	0.4335816275
310	0.4332109627
311	0.4331594697
312	0.4329798819
313	0.4322081571
314	0.4315646692
315	0.431547432
316	0.4314341408
317	0.4310624359
318	0.430723199
319	0.4303633378
320	0.4301729341
321	0.4300769235
322	0.429988127
323	0.4297670185
324	0.4294085299
325	0.4291174994
326	0.4290082982
327	0.4284972123
328	0.4278284326
329	0.4277400608
330	0.4275241135
331	0.4269512602
332	0.426583807
333	0.4263483384
334	0.4263380034
335	0.4255820091
336	0.4254429582
337	0.425281615
338	0.425110425
339	0.424714263
340	0.4244367168
341	0.4243274045
342	0.4242056911
343	0.4240344661
344	0.4238927598
345	0.4236191263
346	0.4234594857
347	0.4233865411
348	0.4232670874
349	0.4229867614
350	0.4227406426
351	0.4226379124
352	0.422573623
353	0.422280601
354	0.4219995336
355	0.421477621
356	0.4211288131
357	0.4206668874
358	0.4204940615
359	0.4204067817
360	0.4200653644
361	0.4199969882
362	0.4199542219
363	0.4198114339
364	0.4196424274
365	0.4194087499
366	0.4193090391
367	0.419087852
368	0.418854029
369	0.418757077
370	0.4187206582
371	0.4185211039
372	0.4182629045
373	0.418198468
374	0.4172667682
375	0.4169491654
376	0.4167862271
377	0.4166414522
378	0.4159969889
379	0.4158648737
380	0.4156976029
381	0.4152119257
382	0.4150653626
383	0.4148515551
384	0.4145850199
385	0.4141759977
386	0.4137745563
387	0.413486828
388	0.4133687351
389	0.4131171537
390	0.4129081525
391	0.4124512457
392	0.4123215047
393	0.4116237054
394	0.4114237555
395	0.4108190054
396	0.4106489412
397	0.4103459734
398	0.4101876196
399	0.4101102144
400	0.4097637783
401	0.4095095953
402	0.4091969389
403	0.408854502
404	0.4084309261
405	0.4082145659
406	0.4078890701
407	0.4075828177
408	0.4073568822
409	0.4071353077
410	0.4069434813
411	0.4067398628
412	0.406522612
413	0.4061958584
414	0.4058139091
415	0.4056761524
416	0.4054739566
417	0.4048992982
418	0.404333614
419	0.4042430727
420	0.404128561
421	0.403927963
422	0.4036756388
423	0.4035345073
424	0.403140916
425	0.4030831388
426	0.4029944771
427	0.4028911459
428	0.4024521424
429	0.4020032129
430	0.4018883584
431	0.4016199901
432	0.4013094763
433	0.4012332886
434	0.4010552947
435	0.4008945534
436	0.4007420073
437	0.4005569734
438	0.4004912152
439	0.4000251816
440	0.3998994482
441	0.39959448
442	0.3988115575
443	0.3985934012
444	0.3982552037
445	0.3979373465
446	0.3974168713
447	0.3973638012
448	0.397075232
449	0.3970723171
450	0.3968278751
451	0.3965058228
452	0.3964014906
453	0.3963882795
454	0.3958666345
455	0.3955949832
456	0.3955724707
457	0.3954565518
458	0.3951772804
459	0.3949350216
460	0.3949285881
461	0.3946964273
462	0.3946944815
463	0.394647551
464	0.3943667117
465	0.3942539312
466	0.3938801091
467	0.3937522227
468	0.3936176356
469	0.3935151584
470	0.3934428719
471	0.3933721177
472	0.3927280716
473	0.3924100584
474	0.3923918447
475	0.3922947865
476	0.3919954289
477	0.3917285685
478	0.3916349218
479	0.3915723988
480	0.3910443091
481	0.3906503642
482	0.390604935
483	0.3904903136
484	0.3904754403
485	0.3902676471
486	0.3901602054
487	0.3900748637
488	0.3897137108
489	0.3895675215
490	0.3892053048
491	0.3890352914
492	0.3889301136
493	0.3888650567
494	0.3884187379
495	0.388293444
496	0.3877149924
497	0.3876847739
498	0.3875858051
499	0.3872925438
3637449051
84
